Unnamed: 0,Name,Profile,Followers,Country,Topic of Influence,JSON Downloaded,All posts downloaded,TotalPosts,Completed,Unnamed: 10,Unnamed: 11,Unnamed: 12,JSON STATUS OLD
2132,Harry Styles HQ,@hshq,7.4M,United Kingdom,"Entertainment and Music, Music, Singer",0,,,,,,,
2133,Dilsinho,@dilsinho,7.4M,,"Entertainment and Music, Actors, Animals & Pets, Film, Music & Books",0,,,,,,,
2134,𝓨𝓿𝓸𝓷𝓷𝓮 𝓝𝓮𝓵𝓼𝓸𝓷,@yvonnenelsongh,7.4M,Ghana,"Arts and Crafts, Education, Entertainment and Music, Celebrity",0,,,,,,,
2135,Jasmine Tookes,@jastookes,7.4M,United States,Fashion and Accessories,0,,,,,,,
2136,Visit Chechnya,@ya_pomoshnik_kra_95,7.4M,,,0,,,,,,,
2137,suman,@suman__.99,7.4M,,,1,,743.0,501.0,,,,
2138,Queen Latifah,@queenlatifah,7.4M,United States,"Acting and Drama, Entertainment and Music, Celebrity, Music",0,,,,,,,
2139,Dani Ospina,@daniela_ospina5,7.4M,United States,"Fashion and Accessories, Actors",0,,,,,,,
2140,Jessica Alves,@jessicaalvesuk,7.4M,United Kingdom,"Fashion and Accessories, Travel, Television, Modeling",0,,,,,,,
2141,Lily Adrianne ليلي,@lily.adrianne,7.4M,New Zealand,Fashion and Accessories,0,,,,,,,
2142,Esra Bilgic,@esbilgic,7.4M,Turkey,"Celebrity, Modeling, Actors",0,,,,,,,
2143,Arctic Monkeys,@arcticmonkeys,7.3M,United Kingdom,"Entertainment and Music, Music, Producers",0,,,,,,,
2144,KC Cole,@keyshiacole,7.3M,,"family, Music, Singer, Entertainment",99,,57.0,51.0,,,,
2145,James Reid,@james,7.3M,,"Entertainment and Music, Product Showcase, Music, Singer",0,,,,,,,
2146,Mange Kimambi,@mangekimambi_,7.3M,United States,"Romance and Wedding, Parenting, Singer",0,,,,,,,
2147,Gregoriopernia1,@gregoriopernia,7.3M,,"Entertainment and Music, Celebrity, Actors, Virtualization",0,,,,,,,
2148,Roberta Miranda,@robertamiranda,7.3M,Brazil,"Entertainment and Music, Singer",0,,,,,,,
2149,Hüzünlü Bir Ponçik,@huzunlubirponcik,7.3M,,Fashion and Accessories,0,,,,,,,
2150,Ben Simmons,@bensimmons,7.3M,Australia,"Sports, Modeling",1,,22.0,21.0,,,,
2151,Khalid,@thegr8khalid,7.3M,United States,Entertainment and Music,0,,,,,,,
2152,POKROV🥑,@pokrov90,7.3M,Russia,"Food, Modeling",0,,,,,,,
2153,NICOLE RICHIE,@nicolerichie,7.3M,United States,"Fashion and Accessories, Actors",0,,,,,,,
2154,MIRA FILZAH,@mfmirafilzah,7.3M,Malaysia,"Acting and Drama, Celebrity, Actors, Artist",0,,,,,,,
2155,Carol Dias,@caroldias,7.3M,Brazil,"Finance, Actors, Celebrities, Film, Music & Books",0,,,,,,,
2156,Хиза,@khiza_13,7.3M,,Video Blogger,0,,,,,,,
2157,Steve-O,@steveo,7.3M,United States,Actors,0,,,,,,,
2158,Thylane-Lena rose,@thylaneblondeau,7.3M,Italy,"Fashion and Accessories, Modeling, Fashion Design, Celebrities",0,,,,,,,
2159,Sangram U Singh🌟🇮🇳,@sangramsingh_wrestler,7.3M,India,,0,,,,,,,
2160,MayMay Entrata,@maymay,7.3M,Philippines,"Art, Actors",0,,,,,,,
2161,China,@chinamcclain,7.3M,China,"Entertainment and Music, Modeling, Actors, Music",0,,,,,,,
2162,HUMOR 🔥,@esadolescencia,7.3M,,"Funny, Actors, Virtualization",0,,,,,,,
2163,Michael Jackson,@michaeljackson,7.3M,United States,"Soccer, Music, Actors",0,,,,,,,
2164,Saloni,@saloni13___,7.3M,,Romance and Wedding,1,,4358.0,501.0,,,,
2165,Bernice Burgos,@realberniceburgos,7.3M,,"Fashion and Accessories, Business and Finance, Modeling, Entertainment",0,,,,,,,
2166,Yunus Sedat Aydın,@yunus,7.3M,,"Education, Upskilling, Business and Finance",0,,,,,,,
2167,Matheus & Kauan,@matheusekauan,7.3M,Brazil,"Entertainment and Music, Band",0,,,,,,,
2168,Vhong Navarro,@vhongx44,7.3M,Philippines,Entertainment and Music,0,,,,,,,
2169,Ameer Karara,@karara.amir,7.3M,,Fashion,0,,,,,,,
2170,Gaur Gopal das,@gaurgopaldas,7.3M,India,"Education, Upskilling, Fitness and Health, Parenting",0,,,,,,,
2171,Carmen Mouro,@carmenmouro1_oficial,7.3M,Brazil,Fashion and Accessories,0,,,,,,,
2172,Valentín Oliva,@wos.ds3,7.3M,,"Art, Actors, Music",0,,,,,,,
2173,Savannah Rose LaBrant,@sav.labrant,7.3M,Brazil,"family, Entertainment and Music, Parenting, Moms",0,,,,,,,
2174,Zach,@zachchoi,7.3M,,"Food, Actors, Celebrities",0,,,,,,,
2175,Dr. Dre,@drdre,7.3M,United States,"Singer, Rap",1,,75.0,75.0,,,,
2176,𝑆𝑢𝑛𝑎𝑛𝑑𝑎 𝑆ℎ𝑎𝑟𝑚𝑎 ਸੁਨੰਦਾ ਸ਼ਰਮਾਂ,@sunanda_ss,7.3M,India,"Entertainment and Music, Music, Singer, Entertainment",0,,,,,,,
2177,승관 SEUNGKWAN,@pledis_boos,7.3M,South Korea,"Entertainment and Music, Singer",0,,,,,,,
2178,Jeremy Clarkson,@jeremyclarkson1,7.3M,United States,Journalists,0,,,,,,,
2179,Numidia Lezoul bébé d’amough,@numidialezoul_official,7.3M,,"family, Entertainment and Music, Lifestyle",0,,,,,,,
2180,Rafael Portugal,@rafaelportugal,7.3M,Brazil,"Entertainment and Music, Acting and Drama, Careers, Actors",0,,,,,,,
2181,Neeraj Chopra,@neeraj____chopra,7.3M,India,"Sports, Coaching, Training",0,,,,,,,
2182,Aykut Elmas,@aykutelmas,7.3M,Turkey,"Pets, Comedy, Film, Music & Books, Digital Creator",0,,,,,,,
2183,Marcos Aoás Corrêa,@marquinhosm5,7.2M,Brazil,"Entertainment and Music, Marketing and Advertising, Soccer",0,,,,,,,
2184,Doğuş YILMAZ,@dogushyilmaz,7.2M,Turkey,Business and Finance,0,,,,,,,
2185,Elettra Lamborghini,@elettralamborghini,7.2M,Italy,"Entertainment and Music, Music, TV Host",0,,,,,,,
2186,Soulja Boy (Draco),@souljaboy,7.2M,United States,"Entertainment and Music, Business and Finance, Music, Rap",0,,,,,,,
2187,Raai Laxmi,@iamraailaxmi,7.2M,India,"Acting and Drama, Modeling, Actors",0,,,,,,,
2188,Fernanda Castillo,@fernandacga,7.2M,Mexico,"Entertainment and Music, Actors, Virtualization, Journalists",0,,,,,,,
2189,CAROLINA VOLTAN 🦦,@loud.voltan,7.2M,Brazil,Video Gaming,0,,,,,,,
2190,tierry,@tierry,7.2M,,"Entertainment and Music, Music",0,,,,,,,
2191,Murat Avcı,@muratavcionline,7.2M,,"Arts and Crafts, Entertainment and Music",0,,,,,,,
2192,Shitheadsteve,@shitheadsteve,7.2M,,"Funny, Celebrity, Animals & Pets, Film, Music & Books",0,,,,,,,
2193,Augusto Cury,@augustocury,7.2M,Brazil,"Education, Author, Movie Writer, Writer",0,,,,,,,
2194,ASIM RIAZ 👑,@asimriaz77.official,7.2M,India,Entertainment and Music,0,,,,,,,
2195,Tejasswi Prakash,@tejasswiprakash,7.2M,India,"Entertainment and Music, Acting and Drama, Actors, Tennis",0,,,,,,,
2196,Tyra Banks,@tyrabanks,7.2M,United States,"TV Host, Modeling",0,,,,,,,
2197,Angelica Panganiban,@iamangelicap,7.2M,Philippines,"Acting and Drama, Entertainment and Music, Celebrity, Actors",0,,,,,,,
2198,Gregg Sulkin,@greggsulkin,7.2M,United Kingdom,"Celebrity, Actors",0,,,,,,,
2199,Juan Sebastián Guarnizo,@juansguarnizo,7.2M,,"Entertainment and Music, Games, Actors",0,,,,,,,
2200,Ashanti,@ashanti,7.2M,,"Entertainment and Music, Celebrity, Business and Finance, Music",0,,,,,,,
2201,Rizki 2R,@da2_rizki123,7.2M,,"Entertainment and Music, Music, Band",0,,,,,,,
2202,Nazriya Nazim Fahadh,@nazriyafahadh,7.2M,United Arab Emirates,Art,0,,,,,,,
2203,Neiva Mara,@neivamara,7.2M,Spain,"Fitness and Health, Lifestyle, Modeling",0,,,,,,,
2204,The Author📝✍🏾,@teegrizzley,7.2M,,"Entertainment and Music, Music, Singer, Entertainment",0,,,,,,,
2205,Charlize Theron,@charlizeafrica,7.2M,United States,"Entertainment and Music, Celebrity",0,,,,,,,
2206,Normani,@normani,7.2M,,Entertainment and Music,0,,,,,,,
2207,Alejandro Sanz,@alejandrosanz,7.2M,Spain,"Sports, Actors, Journalists",0,,,,,,,
2208,LE SSERAFIM,@le_sserafim,7.2M,South Korea,Music,0,,,,,,,
2209,Kristen Hanby,@kristenhanby,7.2M,,"Entertainment and Music, Funny, Singer, Music",0,,,,,,,
2210,J-HOPE (제이홉) Updates,@jhope_bighitentertainment,7.2M,South Korea,Entertainment and Music,0,,,,,,,
2211,t ae wt ae w,@taewaew_natapohn,7.2M,Thailand,"Entertainment and Music, Acting and Drama, Actors",0,,,,,,,
2212,Vidyut Jammwal,@mevidyutjammwal,7.2M,India,"Fitness and Health, Celebrity, Actors",0,,,,,,,
2213,SECH / EL BLOKE HP 🇵🇦,@sechmusic,7.2M,Panama,"Entertainment and Music, Video Gaming, Actors, Music",0,,,,,,,
2214,"Calligraphy, Art & Memes",@calligraphyvideo,7.2M,,"Arts and Crafts, Funny",0,,,,,,,
2215,Влад Бумага,@a4omg,7.2M,Russia,"Entertainment and Music, Styling, Modeling",0,,,,,,,
2216,Natalie Lee,@natalee.007,7.2M,,"family, Modeling, Lifestyle",1,,339.0,339.0,,,,
2217,Kaitlyn 💖,@k8lynbaddie,7.2M,,"Fashion and Accessories, Modeling, Design, Film, Music & Books",0,,,,,,,
2218,Galaxy Fanfan,@kriswu,7.2M,China,Music,0,,,,,,,
2219,Zeina Reda,@zeinareda29,7.2M,Egypt,,0,,,,,,,
2220,,@roddyricch,7.2M,,"Art, Video Games, Singer, Music",0,,,,,,,
2221,Vivian Amorim,@amorimvivian,7.2M,Brazil,"Entertainment and Music, Modeling",0,,,,,,,
2222,Nike Women,@nikewomen,7.2M,,"Fitness and Health, Apparel",99,,1586.0,501.0,,,,
2223,Ahmed Hassan أحمد حسن,@ahmedhas0san,7.2M,,"Education, Entertainment and Music, Marketing and Advertising, Lifestyle",0,,,,,,,
2224,Orlando Bloom,@orlandobloom,7.2M,United Kingdom,"Actors, Actor",0,,,,,,,
2225,Kajala Masanja,@kajalafrida,7.1M,Tanzania,"family, Celebrity, Singer, Entertainment",1,,2627.0,12.0,,,,
2226,TIARA,@tiaraandini,7.1M,,Music,0,,,,,,,
2227,Majorgirl,@majorgirl,7.1M,,"Entertainment and Music, Music, Singer",1,,4914.0,262.0,,,,
2228,Karin Novilda,@awkarin,7.1M,Indonesia,"Life and Society, Celebrity, Singer, Cars & Motorcycles",0,,,,,,,
2229,Ana Lorde,@ana.lorde,7.1M,United States,"Pets, Fashion and Accessories, Modeling, Moms",0,,,,,,,
2230,Эльмира Толегенова,@elt6i,7.1M,Kazakhstan,"Beauty and Self Care, Education, Fitness and Health, Books",0,,,,,,,
2231,✨LA DIVAZA✨,@ladivaza,7.1M,Mexico,"Entertainment and Music, Fashion and Accessories, Singer, Modeling",1,,,,,,,
2232,Mario Casas,@mario_houses,7.1M,Spain,"Art, Actors, Lifestyle, Training",0,,,,,,,
2233,Francesco Nappo,@francesconappoph,7.1M,Italy,"Photography, Business and Finance",0,,,,,,,
2234,Pooja Dhingra 🗻,@poojadhingra,7.1M,India,"Food, Business and Finance, Chef",0,,,,,,,
2235,Charles Oliveira,@charlesdobronxs,7.1M,,Sports,99,,6655.0,51.0,,,,
2236,Cindy Kimberly,@wolfiecindy,7.1M,Spain,"Beauty and Self Care, Fashion and Accessories, Modeling, Lifestyle",0,,,,,,,
2237,Jack Black,@jackblack,7.1M,,Actors,0,,,,,,,
2238,Bruno PH,@brunoplayhard,7.1M,,"Finance, Games, Business and Finance, Video Gaming",0,,,,,,,
2239,Torch,@anwarhadid,7.1M,,"Art, Styling, Lifestyle, Film, Music & Books",0,,,,,,,
2240,Joe Keery,@uncle_jezzy,7.1M,,Actors,0,,,,,,,
2241,Huma Qureshi,@iamhumaq,7.1M,India,"Arts and Crafts, Celebrity, Actors, Modeling",0,,,,,,,
2242,Nastya Nass,@nastya_nass_,7.1M,,"Fitness and Health, Coaching, Gym",0,,,,,,,
2243,Mahira Sharma,@officialmahirasharma,7.1M,India,"Entertainment and Music, Celebrity, Modeling",0,,,,,,,
2244,Star Yuuki,@staryuukiii,7.1M,Spain,"Entertainment and Music, Funny",0,,,,,,,
2245,Maher Zain,@maherzainofficial,7.1M,Sweden,Entertainment and Music,0,,,,,,,
2246,Negin Mirsalehi,@negin_mirsalehi,7.1M,Netherlands,"Beauty and Self Care, Fashion and Accessories, Business and Finance, Styling",99,,7859.0,2003.0,,,,
2247,Emir Abdul Gani,@emirabdulgani,7.1M,,"Entertainment and Music, Celebrity, Celebrities, Humor",1,,1918.0,501.0,,,,
2248,Yungin',@augustalsina,7.1M,,"Entertainment and Music, Beauty and Self Care, Entertainment, Music",0,,,,,,,
2249,Fernanda Gentil,@gentilfernanda,7.1M,Brazil,"Entertainment and Music, Journalists",0,,,,,,,
2250,Twinkle Khanna,@twinklerkhanna,7.1M,India,,0,,,,,,,
2251,kira,@kirakosarin,7.1M,,"Entertainment and Music, Celebrity, Music, Singer",0,,,,,,,
2252,Anthony Davis,@antdavis23,7.1M,United States,"Sports, Athlete, Creators & Celebrities",0,,,,,,,
2253,Pietra,@pietraquintela,7.1M,Brazil,"Fashion and Accessories, Acting and Drama",0,,,,,,,
2254,Reza Attaran,@rezaattaran,7.1M,Iran,"Entertainment and Music, Modeling, Artist",0,,,,,,,
2255,,@virgilabloh,7.1M,,Fashion Design,0,,,,,,,
2256,Wonwoo,@everyone_woo,7.1M,,Entertainment and Music,0,,,,,,,
2257,COMEDY,@comedy,7.1M,,Celebrity,0,,,,,,,
2258,Lívia Inhudes,@liviainhudes,7.1M,Brazil,"Acting and Drama, Celebrities, Humor, Film, Music & Books",0,,,,,,,
2259,Mohamad Ghayad,@mohamad_ghayad,7.1M,,"Auto and Vehicles, Finance, Business and Finance, Automotive",0,,,,,,,
2260,🐾🎀💋La Mami Del Swagger 🎀🐾,@lainsuperable,7.1M,Dominican Republic,"Fashion and Accessories, Actors",0,,,,,,,
2261,Faith Ojo,@iamfaithojo,7.1M,,family,0,,,,,,,
2262,,@noriel,7.1M,,"Entertainment and Music, Actors, Music, Humor",1,,165.0,165.0,,,,
2263,Humayun Saeed,@saeedhumayun,7.1M,Pakistan,"Entertainment and Music, Music, Actors",99,,1157.0,102.0,,,,
2264,Sharena Delon,@mrssharena,7.1M,,"Pets, Actors, Moms",0,,,,,,,
2265,RajKummar Rao,@rajkummar_rao,7.1M,,"Entertainment and Music, Acting and Drama, Celebrity, Actors",0,,,,,,,
2266,COUPS,@sound_of_coups,7.1M,,Entertainment and Music,0,,,,,,,
2267,Jenna Shea,@only1jshea,7.1M,,"Entertainment and Music, Music, Entertainment, Modeling",0,,,,,,,
2268,Anirudh,@anirudhofficial,7M,,"Entertainment and Music, Celebrity, Music, Singer",0,,,,,,,
2269,Ramy Sabry,@ramysabry8,7M,Egypt,"Entertainment and Music, Music",0,,,,,,,
2270,Linda Ifeoma Ikeji,@officiallindaikeji,7M,Nigeria,"Parenting, Entrepreneur",0,,,,,,,
2271,Gianna Nicole,@gianna,7M,United States,"Home and Garden, Business and Finance, Modeling, Lifestyle",0,,,,,,,
2272,Reginae Carter,@itsreginaecarter,7M,,"Entertainment and Music, Music, Musician Band",0,,,,,,,
2273,Mirhan Hussein ميرهان حسين,@mirhanhusseinmima,7M,,Singer,0,,,,,,,
2274,Farah Merhi,@farahjmerhi,7M,United States,"Home and Garden, Product Showcase, Business and Finance, Parenting",0,,,,,,,
2275,Neelam Muneer Khan,@neelammuneerkhan,7M,Pakistan,"TV Shows, Modeling, Photography, Fashion",0,,,,,,,
2276,,@kaylanicolejones,7M,,"Entertainment and Music, Funny, Animals, Music",0,,,,,,,
2277,اصيل هميم - Aseel Hameem,@aseelhameem,7M,Qatar,Entertainment and Music,0,,,,,,,
2278,Leonardo McManus,@leomcmanus,7M,,"Fashion and Accessories, Celebrities, Film, Music & Books, Cars & Motorcycles",0,,,,,,,
2279,Sakshi Malik,@sakshimalikk,7M,India,"Fitness and Health, Upskilling, Celebrity, Lifestyle",0,,,,,,,
2280,Brian,@fazerug,7M,United States,Lifestyle,0,,,,,,,
2281,(4M Goal)khushi sharma,@viral_zone79,7M,,,0,,,,,,,
2282,JULIE SARIÑANA,@sincerelyjules,7M,United States,"Fashion and Accessories, Lifestyle, Styling",1,,,,,,,
2283,EVELYN REGLY 🐄,@evelynregly,7M,Brazil,"Fashion and Accessories, Hair & Beauty, Celebrities",0,,,,,,,
2284,Sule prikitiew,@ferdinan_sule,7M,Indonesia,"Entertainment and Music, Celebrity, Cars",0,,,,,,,
2285,АНИ ЛОРАК,@anilorak,7M,Ukraine,"Entertainment and Music, Music, Singer",1,,4009.0,501.0,,,,
2286,Any Gabrielly,@anygabriellyofficial,7M,Brazil,"Entertainment and Music, Celebrities, Humor, Film, Music & Books",0,,,,,,,
2287,Özcan Ocak,@ozcanocaktr,7M,Turkey,,0,,,,,,,
2288,Aidan R Gallagher,@aidanrgallagher,7M,United States,"Nature, Education",0,,,,,,,
2289,Yoss 💜,@justyoss,7M,,"Fitness and Health, Beauty and Self Care, Music, Singer",0,,,,,,,
2290,Soldado Ferido Oficial,@soldadoferido,7M,Brazil,Humor,0,,,,,,,
2291,Rafa Polinesio,@ppteamrafa,7M,,"Life and Society, Entertainment and Music, Lifestyle",0,,,,,,,
2292,iluvsarahii,@iluvsarahii,7M,United States,"Beauty, Hair & Beauty, Celebrities, Blogger",0,,,,,,,
2293,Brie Larson,@brielarson,7M,United States,"Celebrity, Actors",0,,,,,,,
2294,Mohamed Halawa,@mhalawaofficial,7M,Egypt,Food,0,,,,,,,
2295,RodWave,@rodwave,7M,,"Pets, Music, Singer",0,,,,,,,
2296,Elham Alfadalah إلهام الفضالة,@elhamalfadalah,7M,Kuwait,"Fashion and Accessories, Celebrity, Modeling",0,,,,,,,
2297,Mai Helmy -مي حلمي,@maihelmy.official,7M,,,0,,,,,,,
2298,MINNIE,@min.nicha,7M,,Pets,0,,,,,,,
2299,Ellen Cardoso🍓,@moranguinhoreal,7M,Brazil,"Entertainment and Music, family, Beauty and Self Care, Film, Music & Books",0,,,,,,,
2300,Jottapê,@jottape,7M,,Entertainment and Music,0,,,,,,,
2301,Jonas Brothers,@jonasbrothers,7M,United States,"Entertainment and Music, Music, Songwriting, Singer",0,,,,,,,
2302,Sara Uribe,@sara_uribe,7M,Colombia,"Beauty and Self Care, family, Actors, Virtualization",0,,,,,,,
2303,Ariadne Diaz,@ariadne_diaz,7M,Mexico,"Acting and Drama, Celebrity, Actors",0,,,,,,,
2304,Wendell Carvalho,@wendellcarvalho,7M,,"Upskilling, Business and Finance, Coaching",0,,,,,,,
2305,JOJI,@sushitrash,7M,United States,"Entertainment and Music, Music, Singer",0,,,,,,,
2306,The Chainsmokers,@thechainsmokers,7M,United States,"Entertainment and Music, DJ, Music, Producers",0,,,,,,,
2307,corinna kopf,@corinnakopf,7M,United States,"Fashion and Accessories, Music, Styling",0,,,,,,,
2308,AS Roma,@officialasroma,7M,Italy,Soccer,0,,,,,,,
2309,Safae Hbirkou,@hbirkousafae_officiel,7M,Morocco,family,0,,,,,,,
2310,,@kashdoll,7M,United States,"Entertainment and Music, Fashion and Accessories, Artist",0,,,,,,,
2311,Tanishk Bagchi,@tanishk_bagchi,7M,,,0,,,,,,,
2312,Tastemade,@tastemade,7M,United States,"Food, Food and Drink, Recipes, Health",1,,14269.0,501.0,,,,
2313,David Daxsen,@sirdaxsen,7M,Brazil,"Entertainment and Music, Parenting, Music, Entertainment",0,,,,,,,
2314,ABHISHEK MALHAN,@fukra_insaan,7M,,,0,,,,,,,
2315,NOW UNITED,@nowunited,7M,Brazil,"Entertainment and Music, Music",0,,,,,,,
2316,Logic,@logic,7M,,"Entertainment and Music, Music, Rap",1,,,,,,,
2317,Mikha Tambayong Mahenra,@miktambayong,7M,Indonesia,"Entertainment and Music, Music, Celebrity, Actors",0,,,,,,,
2318,River Plate,@riverplate,7M,Argentina,"Sports, Soccer",0,,,,,,,
2319,Dylan Minnette,@dylanminnette,7M,United States,"Entertainment and Music, Music, Band, Actors",0,,,,,,,
2320,Chioma Akpotha,@chiomakpotha,7M,Nigeria,"Acting and Drama, Celebrity, Entertainment, Actors",0,,,,,,,
2321,Tiësto,@tiesto,7M,,"Entertainment and Music, DJ, Producers, Music",0,,,,,,,
2322,Sandy,@sandyoficial,7M,,"Entertainment and Music, Singer",0,,,,,,,
2323,andrea russett,@andrearussett,7M,United States,"Entertainment and Music, Food, Actors",1,,,,,,,
2324,Reina,@killadamente,7M,United States,"Education, Video Blogger",0,,,,,,,
2325,Avicii,@avicii,7M,Sweden,"Music, DJ, Producers",0,,,,,,,
2326,SAVAŞ,@savasugurlu,7M,Turkey,News,0,,,,,,,
2327,PepTeam,@pepteam,7M,,"Sports, Soccer",0,,,,,,,
2328,minpechaya,@minpechaya,7M,,Celebrity,0,,,,,,,
2329,Viktor Prokopenya,@viktorprokopenya,6.9M,Brazil,"Technology, Business and Finance, Founder, Marketing",1,,77.0,77.0,,,,
2330,Barış Arduç,@arducbrs,6.9M,Turkey,"Actors, Lifestyle",1,,169.0,169.0,,,,
2331,صفحة عانقيني الرسمية🌸,@3anqene,6.9M,,"Arts and Crafts, Food",0,,,,,,,
2332,Guns N' Roses,@gunsnroses,6.9M,United States,"Entertainment and Music, Band, Rock",0,,,,,,,
2333,Donnalyn 🇵🇭,@donna,6.9M,Philippines,"Art, Singer",0,,,,,,,
2334,💕A A S H I K A B H A T I A 💕,@_aashikabhatia_,6.9M,India,"Acting and Drama, Celebrity, Actors",0,,,,,,,
2335,Hayes,@hayesgrier,6.9M,,"Entertainment and Music, Parenting, Modeling, Music",0,,,,,,,
2336,Giovanna Grigio,@gigigrigio,6.9M,Brazil,"Arts and Crafts, Entertainment and Music, Acting and Drama, Celebrity",0,,,,,,,
2337,Miranda Sings,@mirandasingsofficial,6.9M,United States,"Entertainment and Music, Funny, Music, Singer",0,,,,,,,
2338,Catherine Paiz,@catherinemcbroom,6.9M,Canada,"family, Parenting, Celebrities, Design",0,,,,,,,
2339,Davit Harutyunyan,@harutyunyan_22,6.9M,,,0,,,,,,,
2340,Fernanda Schneider 🌈🔮🤍🧚🏻☁️,@fefe,6.9M,Brazil,"Entertainment and Music, Beauty and Self Care",0,,,,,,,
2341,Lando Norris,@landonorris,6.9M,,,0,,,,,,,
2342,شيمي 🎼.,@sheme._.a,6.9M,Saudi Arabia,"Music, Lifestyle, Humor, Film, Music & Books",0,,,,,,,
2343,maju trindade,@majutrindade,6.9M,Brazil,"Fashion and Accessories, Lifestyle, Architecture",0,,,,,,,
2344,TREASURE (트레저),@yg_treasure_official,6.9M,South Korea,,0,,,,,,,
2345,reyn,@reynmen,6.9M,United States,"Celebrity, Music, Actors, Singer",0,,,,,,,
2346,Ulugbekhon Maksumov,@ulugbekhon,6.9M,United Arab Emirates,"Auto and Vehicles, Entrepreneur, Business",0,,,,,,,
2347,Recep agar,@insaatmuh_mimar,6.9M,Turkey,,0,,,,,,,
2348,Gloria Pires,@gpiresoficial,6.9M,Brazil,"Beauty and Self Care, Actors",0,,,,,,,
2349,ᎷᎪᎡᎢᏆNᎪ,@vismaramartina,6.9M,Italy,"Fashion and Accessories, Product Showcase, Lifestyle",0,,,,,,,
2350,Giorgian de Arrascaeta,@g10dearrascaeta,6.9M,Brazil,"Entertainment and Music, Sports, Soccer",1,,1290.0,1290.0,,,,
2351,Solange,@solangeknowles,6.9M,,,0,,,,,,,
2352,Charles Melton,@melton,6.9M,United States,"Entertainment and Music, Actors",0,,,,,,,
2353,Neha Dhupia,@nehadhupia,6.9M,India,"Celebrity, Modeling, Actors",99,,,,,,,
2354,THRASHER MAGAZINE,@thrashermag,6.9M,United States,Entertainment and Music,0,,,,,,,
2355,OFFICIAL MONSTA X,@official_monsta_x,6.9M,South Korea,"Entertainment and Music, Singer, Music, Songwriting",1,,2430.0,501.0,,,,
2356,SHENYENG 🐉,@shenseea,6.9M,Jamaica,"Entertainment and Music, Entertainment, Music, Singer",0,,,,,,,
2357,Leyla Brunton,@leylabrunton,6.9M,United Arab Emirates,"Auto and Vehicles, Business and Finance, Styling, Lifestyle",0,,,,,,,
2358,Kelly Clarkson,@kellyclarkson,6.9M,United States,"Entertainment and Music, Music, Singer, Songwriting",0,,,,,,,
2359,Nivetha Thomas,@i_nivethathomas,6.9M,India,"Modeling, Fashion, Actors, Artist",0,,,,,,,
2360,LA LETRA MUDA,@juniorh,6.9M,,Entertainment and Music,0,,,,,,,
2361,Naira Marley,@nairamarley,6.9M,Nigeria,"Entertainment and Music, Music, Singer, Songwriting",0,,,,,,,
2362,Ian Harding.,@ianmharding,6.9M,United States,"Entertainment and Music, Actors, Lifestyle",0,,,,,,,
2363,Angus Cloud,@anguscloud,6.9M,,Parenting,0,,,,,,,
2364,,@jackharlow,6.9M,United States,"Entertainment and Music, Music, Singer, Entertainment",1,,568.0,501.0,,,,
2365,Bessan ismail بيسان اسماعيل,@bessan.lsmail,6.9M,Syria,Arts and Crafts,0,,,,,,,
2366,Albasheer show - البشير شو,@albasheershow,6.9M,Iraq,"Entertainment and Music, TV Shows",1,,464.0,463.0,,,,
2367,MARIANO DI VAIO,@marianodivaio,6.9M,Italy,"Modeling, Celebrities, Technology",0,,,,,,,
2368,Rivers,@samyrivera,6.9M,Mexico,"Entertainment and Music, Funny",0,,,,,,,
2369,Francine Diaz,@francinesdiaz,6.9M,,Acting and Drama,0,,,,,,,
2370,ᴢ ᴀ ɪ ʀ ᴀ,@zaira.nara,6.9M,,"Beauty and Self Care, Fashion and Accessories, Actors, Modeling",0,,,,,,,
2371,Renato Cariani,@renato_cariani,6.9M,Brazil,"Education, Fitness and Health",1,,2303.0,501.0,,,,
2372,Marc Márquez,@marcmarquez93,6.9M,Spain,"Sports, Motorcycle Racing",0,,,,,,,
2373,H a R u,@leedonghae,6.9M,,Singer,0,,,,,,,
2374,Tony Robbins,@tonyrobbins,6.8M,United States,"Finance, Upskilling, News, Writers",0,,,,,,,
2375,toguro,@toguro,6.8M,Brazil,"Fitness and Health, Entertainment and Music, Product Showcase, Education",0,,,,,,,
2376,N A Y A N T H A R A,@nayanthara,6.8M,,,0,,,,,,,
2377,Soundarya Sharma,@iamsoundaryasharma,6.8M,India,"Celebrity, Food and Drink, Fitness, Fashion",0,,,,,,,
2378,Stephen Amell,@stephenamell,6.8M,United States,"Entertainment and Music, Celebrity, Actors, Lifestyle",0,,,,,,,
2379,Simone Biles,@simonebiles,6.8M,United States,Pets,0,,,,,,,
2380,Joe,@joe_sugg,6.8M,,"Arts and Crafts, Parenting, Video Blogger",0,,,,,,,
2381,Milad Ghasemi Khah | میلاد قاسمی خواه,@milad_khahhh,6.8M,Iran,"Auto and Vehicles, Marketing and Advertising, Lifestyle",0,,,,,,,
2382,Rosmeri Marval,@rosmeoficial,6.8M,Venezuela,"Acting and Drama, Business and Finance, Celebrity, Actors",0,,,,,,,
2383,BestOfHorror,@bestofhorror,6.8M,,Entertainment and Music,0,,,,,,,
2384,Vernon 버논,@vernonline,6.8M,South Korea,"Art, Entertainment, Music",0,,,,,,,
2385,baby cowboy,@nessabarrett,6.8M,,"Entertainment and Music, Romance and Wedding, family",0,,,,,,,
